,name,x,y,address
160,Campia Turzii RO,23.885495172515174,46.54900685,"Prima școala românească din Câmpia Turzii, 8, Strada Avram Iancu, AlfaGen Park, Centru, Câmpia Turzii, Cluj, 405100, România"
161,Cebin CZ,16.479780962079296,49.3082989,"Čebín, okres Brno-venkov, Jihomoravský kraj, Jihovýchod, Česko"
162,Cernavoda RO,28.0316248,44.3416349,"Cernavodă, Constanța, 905200, România"
163,Cetate RO,23.0475514,44.1114259,"Cetate, Dolj, România"
164,Charlottenburg DE,13.3096834,52.515747,"Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Deutschland"
165,Chodov CZ,12.8301371,49.4178263,"Chodov, okres Domažlice, Plzeňský kraj, Jihozápad, Česko"
166,Chotejovice CZ,13.7988448,50.5779063,"Chotějovice, Světec, okres Teplice, Ústecký kraj, Severozápad, Česko"
167,Chrast CZ,15.9340257,49.9018929,"Chrast, okres Chrudim, Pardubický kraj, Severovýchod, Česko"
168,Cierny Vah SK,19.928742689565553,49.011803900000004,"PVE Čierny Váh, dolná nádrž, Čierny Váh, Východná, okres Liptovský Mikuláš, Žilinský kraj, Stredné Slovensko, Slovensko"
169,Cirkovce SI,15.727405,46.3948524,"Cirkovce, Kidričevo, 2326, Slovenija"
170,Cloppenburg DE,8.0438783,52.8461339,"Cloppenburg, Landkreis Cloppenburg, Niedersachsen, 49661, Deutschland"
171,Cluj Est RO,23.6284591,46.7954993,"Dinamic 92 Distribution Cluj, 16, Bulevardul Muncii, Iris, Cluj-Napoca, Zona Metropolitană Cluj, Cluj, 400227, România"
172,Cluj Floresti RO,23.48468426800494,46.734300000000005,"Metrou Cluj - Teilor, Florești, Zona Metropolitană Cluj, Cluj, România"
173,Conneforde DE,8.0577591,53.3257698,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland"
174,Conneforde O DE,8.0577591,53.3257698,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland"
175,Constanta Nord RO,28.6505248,44.1961857,"Fundația pt. promovarea Tehnologiei Informației și Comunicației, 15, Strada Timișana, Piața Chiliei, Faleză Nord, Constanța, Zona Metropolitană Constanța, Constanța, 900524, România"
176,Craiova Nord RO,23.81842965532019,44.3276649,"Autogara Nord, Bulevardul Decebal, Piața Gării, Craiova, Zona Metropolitană Craiova, Dolj, 200935, România"
177,Crayestein NL,4.745680026938502,51.81837715,"Crayestein, Dordrecht, Zuid-Holland, Nederland"
178,DAMBRON FR,1.872491491583574,48.11493305,"Dambron, Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28140, France"
179,DISTRE FR,-0.11419910609415479,47.22755025,"Distré, Saumur, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49400, France"
180,DOBROTWOR PL,,,
181,DOBRZEN PL,17.28459,51.24388,"Dobrzeń, gmina Dobroszyce, powiat oleśnicki, województwo dolnośląskie, Polska"
182,DOEL BE,4.245205240599269,51.31762105,"Doel, Beveren, Sint-Niklaas, Oost-Vlaanderen, Vlaanderen, België / Belgique / Belgien"
183,DOMLOUP FR,-1.5236949,48.0626279,"Domloup, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35410, France"
184,DONZAC FR,-0.2663051,44.6517987,"Donzac, Langon, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33410, France"
185,DROGENBOS BE,4.3173542,50.786532,"Drogenbos, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien"
186,DUNOWO PL,16.1077967,54.1097161,"Dunowo, gmina Świeszyno, powiat koszaliński, województwo zachodniopomorskie, 76-024, Polska"
187,Dakovo HR,18.4116376,45.3080745,"Đakovo, Grad Đakovo, Osječko-baranjska županija, 31400, Hrvatska"
188,Darste RO,25.65357161426344,45.618902750000004,"Dârste, Strada Timișul Sec (Centura Brașovului), Brașov, 500299, România"
189,Dasny CZ,14.4074115,49.0192314,"Dasný, okres České Budějovice, Jihočeský kraj, Jihozápad, Česko"
190,Daürsberg DE,,,
191,Daxlanden DE,8.3386057,49.0014111,"Daxlanden, Karlsruhe, Baden-Württemberg, Deutschland"
192,Dellmensingen DE,9.9039744,48.3021614,"Dellmensingen, Erbach, Alb-Donau-Kreis, Baden-Württemberg, 89155, Deutschland"
193,Detk HU,20.109051501564842,47.7602436,"Detk, Gyöngyösi járás, Heves megye, Észak-Magyarország, Alföld és Észak, 3275, Magyarország"
194,Dettingen DE,8.9343816,48.4368485,"Dettingen, Rottenburg am Neckar, Verwaltungsgemeinschaft Rottenburg am Neckar, Landkreis Tübingen, Baden-Württemberg, 72108, Deutschland"
195,Diele DE,7.3117171,53.1201491,"Diele, Weener, Landkreis Leer, Niedersachsen, Deutschland"
196,Diele NL,,,
197,Diemen NL,4.984282926187014,52.3350493,"Diemen, Noord-Holland, Nederland"
198,Dillenburg DE,8.2874957,50.7404535,"Dillenburg, Lahn-Dill-Kreis, Hessen, Deutschland"
199,Dipperz DE,9.8175609,50.5316185,"Dipperz, Landkreis Fulda, Hessen, 36160, Deutschland"
200,Divaca HR,,,
201,Divaca SI,13.9689688,45.6825252,"Divača, Upravna enota Sežana, Slovenija"
202,Djerdap RO,21.96942768046236,44.555509650000005,"Национални парк Ђердап, Svinița, Mehedinți, România"
